instance_name,Algorithm,n_items_types,Bin_Length,Bin_Width,Total_Value,Num_Placed_Pieces,execution_time_s,peak_memory_mb
bazaar-10-1.txt,GRASP,10,10,10,1062,10,0.17366040000342764,59.6875
bazaar-10-1.txt,EDA,10,10,10,1382,12,0.37932829998317175,59.8359375
bazaar-10-10.txt,GRASP,10,10,10,919,9,0.16269040000042878,59.8359375
bazaar-10-10.txt,EDA,10,10,10,1428,12,0.3888561000057962,59.83984375
bazaar-10-11.txt,GRASP,10,10,10,1000,9,0.15752599999541417,59.83984375
bazaar-10-11.txt,EDA,10,10,10,1110,11,0.7636332999973092,59.83984375
bazaar-10-12.txt,GRASP,10,10,10,944,9,0.1638673999987077,59.83984375
bazaar-10-12.txt,EDA,10,10,10,1268,13,0.546462900005281,59.8515625
bazaar-10-13.txt,GRASP,10,10,10,1000,9,0.17937959998380393,59.8515625
bazaar-10-13.txt,EDA,10,10,10,1284,12,0.4626241999794729,59.8515625
bazaar-10-14.txt,GRASP,10,10,10,1062,10,0.18100260000210255,59.8515625
bazaar-10-14.txt,EDA,10,10,10,1520,12,0.3530863999912981,59.8515625
bazaar-10-15.txt,GRASP,10,10,10,1000,9,0.1686010000121314,59.8515625
bazaar-10-15.txt,EDA,10,10,10,1316,10,0.4335842000145931,59.8515625
bazaar-10-16.txt,GRASP,10,10,10,1000,9,0.1556466000038199,59.8515625
bazaar-10-16.txt,EDA,10,10,10,1280,10,0.5519743000040762,59.8515625
bazaar-10-17.txt,GRASP,10,10,10,1000,9,0.16658109999843873,59.8515625
bazaar-10-17.txt,EDA,10,10,10,1222,11,0.555604699999094,59.85546875
bazaar-10-18.txt,GRASP,10,10,10,1000,9,0.16253870000946335,59.85546875
bazaar-10-18.txt,EDA,10,10,10,1336,13,0.8648036000085995,59.85546875
bazaar-10-19.txt,GRASP,10,10,10,990,9,0.15809830001671799,59.859375
bazaar-10-19.txt,EDA,10,10,10,1400,10,0.5144882000167854,59.859375
bazaar-10-2.txt,GRASP,10,10,10,902,8,0.16706260002683848,59.859375
bazaar-10-2.txt,EDA,10,10,10,1104,12,0.38966690000961535,59.859375
bazaar-10-20.txt,GRASP,10,10,10,1102,10,0.16404810000676662,59.859375
bazaar-10-20.txt,EDA,10,10,10,1310,13,0.45278689998667687,59.859375
bazaar-10-21.txt,GRASP,10,10,10,1020,9,0.16464299999643117,59.859375
bazaar-10-21.txt,EDA,10,10,10,1260,10,0.7792881999921519,59.859375
bazaar-10-22.txt,GRASP,10,10,10,950,9,0.16456159998779185,59.859375
bazaar-10-22.txt,EDA,10,10,10,1160,10,0.47174619999714196,59.859375
bazaar-10-23.txt,GRASP,10,10,10,883,9,0.17503079999005422,59.859375
bazaar-10-23.txt,EDA,10,10,10,1320,10,0.5609350000158884,59.859375
bazaar-10-24.txt,GRASP,10,10,10,873,9,0.17509699999936856,59.86328125
bazaar-10-24.txt,EDA,10,10,10,1213,11,0.3656833999848459,59.86328125
bazaar-10-25.txt,GRASP,10,10,10,878,8,0.16006570000899956,59.86328125
bazaar-10-25.txt,EDA,10,10,10,1160,13,0.6883421999809798,59.86328125
bazaar-10-3.txt,GRASP,10,10,10,916,9,0.16095099999802187,59.86328125
bazaar-10-3.txt,EDA,10,10,10,1290,13,0.5215600999945309,59.86328125
bazaar-10-4.txt,GRASP,10,10,10,1033,10,0.16694600001210347,59.86328125
bazaar-10-4.txt,EDA,10,10,10,1063,11,0.37674070001230575,59.86328125
bazaar-10-5.txt,GRASP,10,10,10,1124,10,0.1671337999869138,59.86328125
bazaar-10-5.txt,EDA,10,10,10,1244,11,0.41948039998533204,59.86328125
bazaar-10-6.txt,GRASP,10,10,10,1066,10,0.16582629998447374,59.86328125
bazaar-10-6.txt,EDA,10,10,10,1296,12,0.29830709999077953,59.86328125
bazaar-10-7.txt,GRASP,10,10,10,974,9,0.17010610000579618,59.86328125
bazaar-10-7.txt,EDA,10,10,10,1064,10,0.38649530001566745,59.86328125
bazaar-10-8.txt,GRASP,10,10,10,883,9,0.1658700999978464,59.86328125
bazaar-10-8.txt,EDA,10,10,10,1113,9,0.4314730000041891,59.86328125
bazaar-10-9.txt,GRASP,10,10,10,911,9,0.17314840000472032,59.86328125
bazaar-10-9.txt,EDA,10,10,10,1151,11,0.689435800013598,59.86328125
bazaar-100-1.txt,GRASP,100,100,100,66572,69,49.75203140001395,60.2578125
bazaar-100-1.txt,EDA,100,100,100,138512,73,32.407240600005025,62.57421875
bazaar-100-10.txt,GRASP,100,100,100,66633,66,47.93040949999704,62.55859375
bazaar-100-10.txt,EDA,100,100,100,139476,70,33.08589550000033,62.59375
